team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense
Golden State Warriors,2019,106,113.5,12.3,27.7,8.0,5.8,34.7,14.6,53.8,7,9
Los Angeles Lakers,2019,84,111.0,10.3,26.3,7.9,6.0,35.5,15.9,53.6,18,5
Oklahoma City Thunder,2019,87,112.2,11.5,22.9,7.9,5.0,35.1,14.0,52.9,11,12
Brooklyn Nets,2019,84,112.0,12.9,23.5,6.8,4.5,37.1,15.6,52.4,12,10
San Antonio Spurs,2019,88,111.3,9.7,24.3,6.3,5.2,36.2,12.6,52.3,15,15
Orlando Magic,2019,90,106.0,11.0,24.5,7.6,5.9,35.3,13.2,48.9,28,7
Dallas Mavericks,2019,84,111.0,13.8,24.2,6.2,4.3,36.1,13.3,46.4,18,21
Detroit Pistons,2019,91,106.8,12.4,23.6,7.0,4.3,32.8,14.2,44.0,26,29
Sacramento Kings,2019,84,110.2,11.5,24.2,8.0,4.4,33.6,14.1,40.5,20,25
Charlotte Hornets,2019,87,106.2,12.0,23.1,7.0,4.7,32.8,13.8,40.2,27,28
Minnesota Timberwolves,2019,81,112.8,11.1,23.7,8.1,5.2,34.7,14.3,39.5,8,12
New Orleans Pelicans,2019,83,114.4,12.3,26.1,7.7,5.1,35.8,15.4,38.6,4,8
Washington Wizards,2019,81,115.4,12.3,26.9,8.0,4.1,33.0,14.0,37.0,3,27
Memphis Grizzlies,2019,83,107.4,10.7,25.5,7.8,5.1,34.6,14.9,34.9,25,17
Chicago Bulls,2019,84,107.5,10.6,22.8,8.3,4.1,34.0,14.3,32.1,24,22
Phoenix Suns,2019,81,111.3,10.6,25.6,8.6,4.6,32.0,15.2,30.9,15,26
Atlanta Hawks,2019,85,111.4,12.7,24.6,8.0,4.8,34.2,16.8,30.6,14,20
Cleveland Cavaliers,2019,81,104.9,11.2,21.1,6.6,2.8,32.5,14.9,25.9,29,30
New York Knicks,2019,82,102.7,10.2,20.7,7.0,5.3,34.8,14.3,22.0,30,19
Houston Rockets,2018,104,109.4,14.8,20.8,8.1,5.1,33.2,13.5,71.2,14,18
Toronto Raptors,2018,100,112.2,11.7,24.3,7.3,6.0,34.7,13.7,69.0,5,9
Philadelphia 76ers,2018,96,112.1,11.1,27.2,7.8,5.2,36.7,15.5,67.7,6,2
Golden State Warriors,2018,109,113.0,11.4,27.7,7.6,6.3,35.2,14.6,65.1,3,7
Indiana Pacers,2018,93,105.3,8.9,23.2,9.3,4.5,33.7,14.0,63.4,26,11
Denver Nuggets,2018,84,111.2,11.3,26.6,8.1,5.0,34.0,14.7,63.1,8,15
Oklahoma City Thunder,2018,91,110.9,10.5,21.6,9.5,5.3,34.4,14.3,61.5,9,5
Utah Jazz,2018,96,106.9,10.9,23.8,8.6,5.3,35.6,15.6,60.4,17,3
Milwaukee Bucks,2018,94,111.4,11.0,24.6,8.1,5.8,35.5,14.5,59.6,7,4
Portland Trail Blazers,2018,93,109.8,11.2,21.0,6.9,4.8,35.9,13.8,59.1,12,10
Los Angeles Clippers,2018,86,113.4,9.0,23.2,6.9,4.6,35.3,15.0,58.1,2,17
Boston Celtics,2018,101,106.4,11.7,23.3,7.7,4.8,34.7,13.2,57.4,20,12
