team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense
Cleveland Cavaliers,2007,110,94.7,5.9,19.7,7.8,4.1,31.2,14.4,54.5,27,10
Denver Nuggets,2007,96,104.9,6.1,22.8,8.4,5.8,32.2,16.4,54.2,3,1
Golden State Warriors,2007,98,107.7,9.2,22.7,9.6,5.1,30.0,15.3,54.1,2,2
Orlando Magic,2007,93,98.6,6.3,19.9,6.4,4.9,31.4,16.3,52.7,12,12
Chicago Bulls,2007,97,95.3,5.7,22.0,7.6,5.3,31.3,16.2,52.6,22,5
Oklahoma City Hornets,2007,52,98.6,6.2,19.7,6.3,4.6,30.9,13.9,51.9,12,20
New Jersey Nets,2007,99,94.1,7.2,23.4,6.3,3.9,30.2,15.5,51.5,29,25
Boston Celtics,2007,89,95.0,6.2,20.4,8.1,4.3,29.9,16.1,49.4,25,15
Atlanta Hawks,2007,89,94.8,3.6,20.0,7.5,5.7,29.0,15.5,48.3,26,17
Philadelphia 76ers,2007,89,94.2,3.7,20.3,7.3,4.8,29.3,15.8,48.3,28,23
Los Angeles Lakers,2007,92,104.1,7.2,22.4,7.6,5.0,31.8,15.4,47.8,4,3
Portland Trail Blazers,2007,88,95.7,5.8,20.2,6.5,4.4,28.7,15.0,46.6,20,28
Washington Wizards,2007,91,100.2,6.4,20.0,7.6,4.8,29.6,13.9,46.2,8,18
Los Angeles Clippers,2007,88,95.3,4.6,22.0,7.6,5.5,31.2,15.5,45.5,22,4
Indiana Pacers,2007,89,99.5,6.5,21.4,7.3,5.1,31.3,16.2,42.7,10,8
Miami Heat,2007,93,94.1,5.9,20.2,7.4,5.2,29.9,14.7,41.9,29,13
Charlotte Bobcats,2007,87,96.6,6.3,21.7,7.9,4.2,28.0,15.1,41.4,16,27
Sacramento Kings,2007,90,100.1,6.5,19.3,8.3,3.4,28.7,15.2,37.8,9,25
New York Knicks,2007,82,95.1,6.0,17.8,6.8,2.7,29.9,16.8,36.6,24,29
Memphis Grizzlies,2007,85,103.7,6.9,21.4,6.4,5.4,30.5,16.4,31.8,5,15
Seattle SuperSonics,2007,88,98.9,5.9,21.0,7.3,4.3,30.9,15.8,31.8,11,13
Milwaukee Bucks,2007,88,95.9,6.1,21.0,7.0,3.6,28.3,16.0,29.5,19,30
Minnesota Timberwolves,2007,90,95.7,5.4,21.3,6.8,3.8,29.9,15.8,26.7,20,24
San Antonio Spurs,2006,100,97.2,7.0,21.3,6.7,5.2,30.4,14.1,71.0,16,11
Dallas Mavericks,2006,114,97.9,5.6,18.0,6.8,5.5,30.3,14.0,69.3,14,8
Detroit Pistons,2006,109,95.4,6.5,22.1,7.0,5.8,28.6,12.0,67.0,22,18
Phoenix Suns,2006,108,109.8,10.2,25.9,6.6,4.6,31.0,13.7,63.0,1,13
Miami Heat,2006,111,96.7,5.8,19.7,6.5,5.1,32.3,15.2,58.6,18,3
Utah Jazz,2006,91,97.5,4.0,22.8,6.8,5.6,29.7,15.9,58.2,15,14
Los Angeles Lakers,2006,99,101.6,7.3,22.0,7.8,4.4,30.2,15.4,57.6,7,10
Chicago Bulls,2006,98,99.5,6.2,21.9,6.9,4.5,31.7,15.1,57.1,8,6
Denver Nuggets,2006,91,103.3,5.1,23.4,8.6,5.0,30.4,15.4,56.0,2,2
Cleveland Cavaliers,2006,103,94.2,5.6,19.1,6.5,4.5,30.8,14.7,55.3,25,15
Los Angeles Clippers,2006,102,98.0,3.7,20.5,6.6,5.9,31.7,14.9,54.9,13,1
Sacramento Kings,2006,95,98.9,6.1,20.5,8.0,3.7,30.1,15.1,54.7,10,15
Washington Wizards,2006,98,103.3,6.4,18.8,8.1,4.4,28.6,14.3,54.1,2,19
Houston Rockets,2006,92,92.6,7.0,20.3,7.5,4.2,31.9,15.4,52.2,28,4
New Jersey Nets,2006,103,94.9,5.9,23.1,6.7,3.2,30.7,14.5,51.5,23,21
Orlando Magic,2006,95,96.3,3.7,18.6,6.7,4.7,29.1,15.7,50.5,21,22
Indiana Pacers,2006,101,94.4,6.4,20.6,7.5,5.4,30.5,16.2,47.5,24,5
Milwaukee Bucks,2006,99,99.4,6.2,22.0,7.3,3.2,28.7,14.6,44.4,9,28
Oklahoma City Hornets,2006,90,92.8,4.0,18.2,7.1,3.9,29.2,14.1,44.4,27,24
Golden State Warriors,2006,89,101.8,7.5,21.8,7.8,5.1,30.2,15.3,42.7,4,7
Memphis Grizzlies,2006,97,92.9,6.3,18.4,7.4,4.8,28.3,15.1,42.3,26,22
Toronto Raptors,2006,90,101.7,7.4,20.0,6.7,3.7,28.7,13.3,42.2,5,29
Seattle SuperSonics,2006,93,101.7,6.3,20.7,7.8,4.0,27.6,15.8,41.9,5,27
Minnesota Timberwolves,2006,91,92.6,3.4,20.9,7.0,5.3,30.0,16.1,40.7,28,11
Philadelphia 76ers,2006,87,96.6,4.3,20.0,8.0,4.8,28.2,15.0,37.9,19,20
Boston Celtics,2006,90,98.6,6.0,20.4,7.5,5.0,30.1,16.6,37.8,11,8
Atlanta Hawks,2006,91,96.9,5.4,19.8,7.5,4.9,27.3,16.3,36.3,17,26
New York Knicks,2006,93,98.2,4.4,18.5,6.6,3.3,29.9,17.8,35.5,12,25
Charlotte Bobcats,2006,90,96.4,5.0,21.5,9.0,4.5,28.3,14.9,30.0,20,15
Portland Trail Blazers,2006,92,91.4,4.9,18.0,6.7,4.8,27.0,15.4,28.3,30,30
Detroit Pistons,2005,115,94.9,5.0,22.3,6.9,6.1,30.2,12.7,71.3,22,8
Dallas Mavericks,2005,104,101.8,5.4,19.0,8.1,5.7,29.7,13.4,70.2,3,6
Phoenix Suns,2005,105,108.6,9.5,24.3,6.8,5.7,33.0,14.1,67.6,1,1
San Antonio Spurs,2005,113,95.7,6.3,20.3,6.6,6.2,30.7,13.8,66.4,17,6
Miami Heat,2005,104,99.5,6.0,20.3,6.3,5.7,32.4,14.6,64.4,8,3
Memphis Grizzlies,2005,91,92.8,7.0,20.0,8.4,5.5,28.3,14.0,60.4,26,15
Denver Nuggets,2005,97,100.4,3.8,23.6,8.9,5.9,30.5,15.0,58.8,4,2
Houston Rockets,2005,94,94.2,6.6,20.1,7.1,4.6,31.4,14.1,58.5,24,10
New Jersey Nets,2005,95,95.0,5.6,22.7,8.0,3.3,29.8,13.8,56.8,20,21
Chicago Bulls,2005,99,96.2,6.8,21.4,7.1,4.4,31.1,16.0,55.6,15,13
Cleveland Cavaliers,2005,89,98.1,4.8,21.0,8.0,5.7,28.5,14.5,53.9,12,15
Indiana Pacers,2005,102,92.1,6.2,18.1,7.5,4.5,29.6,14.5,53.9,27,20
Boston Celtics,2005,97,98.9,5.3,21.9,7.8,5.6,29.6,16.5,51.5,10,11
Seattle SuperSonics,2005,101,98.8,7.4,18.2,7.0,4.0,27.9,13.8,51.5,11,29
Minnesota Timberwolves,2005,90,94.0,4.6,22.6,5.9,5.8,30.5,13.4,51.1,25,15
Philadelphia 76ers,2005,96,100.0,5.6,20.8,9.1,4.5,30.3,14.3,51.0,6,5
Los Angeles Clippers,2005,89,96.0,3.0,22.2,6.9,5.6,31.5,15.0,50.6,16,4
Sacramento Kings,2005,97,102.3,6.0,23.4,8.0,3.6,29.2,13.7,49.5,2,22
Washington Wizards,2005,100,99.6,6.0,18.1,8.3,4.4,29.3,14.3,49.0,7,18
Golden State Warriors,2005,91,100.2,8.6,21.8,7.8,4.8,29.9,13.2,46.2,5,14
Milwaukee Bucks,2005,91,97.7,4.7,20.8,6.8,3.3,29.4,14.5,44.0,14,28
Los Angeles Lakers,2005,92,98.1,6.6,20.6,6.8,4.1,29.8,14.0,43.5,12,23
Orlando Magic,2005,88,95.2,3.7,18.4,7.7,4.8,30.2,16.2,42.0,19,12
Toronto Raptors,2005,88,99.2,7.3,20.3,7.5,3.4,29.0,13.6,38.6,9,25
Utah Jazz,2005,89,90.3,3.4,21.1,6.9,5.1,27.7,16.6,34.8,29,26
New York Knicks,2005,88,95.7,4.5,19.3,7.5,3.1,29.1,15.9,30.7,17,26
New Orleans Hornets,2005,54,89.9,5.4,20.9,6.4,4.1,28.2,14.7,29.6,30,30
Portland Trail Blazers,2005,92,91.1,4.6,20.1,6.8,6.6,28.5,16.0,28.3,28,19
Charlotte Bobcats,2005,94,95.0,4.1,21.1,9.3,5.1,28.8,14.5,25.5,20,8
Atlanta Hawks,2005,89,94.5,3.9,19.4,7.2,4.3,28.5,16.1,20.2,23,24
San Antonio Spurs,2004,94,93.7,5.5,21.1,7.9,6.2,31.3,14.9,73.4,18,2
Indiana Pacers,2004,98,91.8,6.1,20.3,8.9,5.2,30.0,15.1,67.3,20,6
Minnesota Timberwolves,2004,101,95.3,5.0,22.2,6.6,5.4,32.4,13.6,65.3,11,4
Detroit Pistons,2004,105,89.8,4.3,21.0,8.2,6.8,30.8,15.4,64.8,27,1
Sacramento Kings,2004,96,100.8,6.8,25.2,8.7,3.7,30.3,13.9,62.5,2,14
Dallas Mavericks,2004,90,103.9,5.6,22.0,8.6,5.7,31.1,13.0,62.2,1,2
Miami Heat,2004,97,94.6,5.8,20.4,7.0,4.7,30.7,13.4,61.9,14,20
Los Angeles Lakers,2004,104,95.3,5.6,22.0,7.5,4.7,30.8,13.8,61.5,11,12
Memphis Grizzlies,2004,87,95.5,5.3,22.3,8.9,6.5,28.9,15.3,57.5,10,5
Phoenix Suns,2004,82,100.0,6.6,20.4,7.9,4.9,30.5,15.0,54.9,3,9
Seattle SuperSonics,2004,84,98.5,8.7,21.2,7.6,4.0,27.9,14.3,53.6,4,29
Cleveland Cavaliers,2004,81,95.1,3.1,22.0,7.7,6.0,30.4,13.9,53.1,13,7
New Jersey Nets,2004,94,89.3,4.5,22.2,7.8,4.2,30.6,16.2,52.1,28,15
New York Knicks,2004,86,94.4,4.8,20.4,8.1,4.3,29.9,15.3,51.2,15,21
Houston Rockets,2004,88,90.4,6.0,19.7,6.6,4.6,32.0,16.4,50.0,23,10
Denver Nuggets,2004,89,96.0,3.7,22.4,8.9,5.6,29.0,15.5,49.4,8,8
Portland Trail Blazers,2004,83,90.5,4.8,20.5,7.7,6.2,29.3,15.8,47.0,22,10
Milwaukee Bucks,2004,84,97.7,4.5,22.0,6.9,3.8,29.7,13.5,44.0,6,27
Utah Jazz,2004,85,89.9,2.9,21.2,6.8,5.3,27.8,16.6,43.5,25,28
Golden State Warriors,2004,84,93.8,5.3,20.3,7.4,5.1,30.1,14.7,42.9,17,15
Philadelphia 76ers,2004,81,91.3,4.6,19.7,7.9,4.2,30.3,16.3,42.0,21,19
Boston Celtics,2004,85,96.9,5.7,20.0,9.0,4.2,29.3,16.7,40.0,7,18
Washington Wizards,2004,84,96.0,5.5,19.3,9.0,4.6,29.0,17.0,39.3,8,15
Orlando Magic,2004,79,97.8,5.1,19.6,7.0,4.3,29.6,14.4,38.0,5,25
Toronto Raptors,2004,87,90.0,6.3,19.3,7.9,4.7,29.5,14.0,34.5,24,22
Los Angeles Clippers,2004,86,94.0,3.4,21.3,7.5,4.8,28.8,16.5,33.7,16,24
Atlanta Hawks,2004,79,92.4,5.1,19.6,8.2,4.3,28.7,16.5,30.4,19,23
Chicago Bulls,2004,80,89.9,5.5,21.6,7.6,4.5,30.8,16.9,30.0,25,13
New Orleans Hornets,2004,88,88.4,5.3,20.3,7.6,4.1,28.8,15.6,29.5,29,26
San Antonio Spurs,2003,106,95.0,5.1,21.0,8.0,6.4,32.1,14.9,74.5,12,2
Los Angeles Lakers,2003,90,102.6,5.9,23.6,7.9,5.4,31.0,13.9,71.1,3,8
Sacramento Kings,2003,92,104.0,6.4,25.3,8.3,4.9,32.8,14.1,70.7,1,3
Minnesota Timberwolves,2003,87,97.9,3.9,25.0,6.9,5.2,31.9,13.3,64.4,5,10
Dallas Mavericks,2003,104,102.7,7.7,22.2,7.4,5.1,30.6,12.0,61.5,2,13
New Orleans Hornets,2003,88,93.6,5.8,22.3,8.5,4.5,29.8,14.8,59.1,15,15
New Jersey Nets,2003,102,91.9,4.1,23.0,8.5,4.0,30.2,14.8,56.9,22,16
Portland Trail Blazers,2003,90,95.1,4.6,22.6,8.0,3.8,28.8,14.4,56.7,11,28
Detroit Pistons,2003,103,90.9,5.6,18.9,7.4,5.9,29.3,13.7,56.3,25,17
Indiana Pacers,2003,91,92.8,4.8,22.3,8.4,5.4,30.8,14.0,56.0,19,6
Utah Jazz,2003,89,93.4,2.7,24.0,8.0,5.9,28.3,16.3,55.1,16,21
Milwaukee Bucks,2003,89,97.8,6.4,22.6,7.3,4.4,29.0,13.0,51.7,6,27
Philadelphia 76ers,2003,96,94.3,3.5,20.9,9.4,3.5,28.7,14.6,51.0,14,22
Houston Rockets,2003,85,91.4,5.8,18.0,7.1,5.8,31.2,16.1,50.6,24,9
Seattle SuperSonics,2003,81,93.2,7.1,20.7,8.5,4.5,28.5,14.1,49.4,17,23
Golden State Warriors,2003,82,100.1,5.1,21.3,7.0,5.2,31.3,15.0,48.8,4,12
Boston Celtics,2003,95,92.6,8.0,20.4,8.4,4.0,30.2,14.7,47.4,20,17
New York Knicks,2003,89,94.4,7.0,21.8,7.3,3.7,29.9,14.8,46.1,13,26
Phoenix Suns,2003,90,95.8,4.9,20.3,8.7,5.0,29.2,14.0,43.3,8,14
Memphis Grizzlies,2003,84,97.8,5.8,23.5,8.9,6.4,29.7,14.8,41.7,6,4
Toronto Raptors,2003,82,89.5,4.9,20.4,7.0,4.9,29.5,14.6,40.2,28,24
Washington Wizards,2003,82,90.5,3.6,19.5,8.3,5.0,29.1,14.4,39.0,27,20
Orlando Magic,2003,90,95.4,6.2,19.5,7.8,4.0,28.8,14.3,38.9,10,28
Atlanta Hawks,2003,86,92.6,4.3,20.3,7.2,5.6,31.6,16.3,37.2,20,7
Denver Nuggets,2003,84,90.7,3.5,22.1,9.1,6.2,29.7,17.1,35.7,26,4
Los Angeles Clippers,2003,80,95.5,4.8,19.5,7.1,5.0,30.4,15.5,35.0,9,19
Chicago Bulls,2003,83,93.1,4.7,22.1,7.6,5.5,30.9,16.9,33.7,18,10
Miami Heat,2003,85,85.5,4.3,18.0,7.6,3.9,29.6,14.6,32.9,29,25
Cleveland Cavaliers,2003,83,91.7,3.4,22.2,7.3,6.6,32.7,17.9,27.7,23,1
Sacramento Kings,2002,98,103.4,5.4,23.6,9.3,5.2,32.4,14.3,72.4,2,1
Dallas Mavericks,2002,90,105.6,7.8,21.6,7.7,5.1,32.0,12.1,72.2,1,7
New Jersey Nets,2002,105,97.0,4.7,23.3,8.8,5.6,30.6,14.4,63.8,8,4
Portland Trail Blazers,2002,86,96.0,5.6,23.3,9.0,4.3,30.1,14.7,62.8,10,12
Detroit Pistons,2002,94,91.7,6.9,21.0,7.5,6.6,29.2,14.4,62.8,25,13
San Antonio Spurs,2002,96,93.4,4.9,19.0,7.2,6.4,31.4,14.6,62.5,18,4
Los Angeles Lakers,2002,106,99.0,6.0,22.3,7.5,5.3,32.1,13.7,61.3,5,6
Philadelphia 76ers,2002,88,93.1,2.8,20.5,9.7,3.9,30.2,14.7,59.1,19,11
Boston Celtics,2002,100,95.5,8.6,19.9,9.8,3.8,31.1,14.0,59.0,11,9
Indiana Pacers,2002,85,96.6,4.8,22.2,8.1,5.0,32.0,15.8,57.6,9,3
Charlotte Hornets,2002,61,94.3,4.2,21.4,8.6,6.0,31.0,14.1,57.4,15,2
Orlando Magic,2002,87,99.5,7.1,21.5,8.2,4.1,29.8,13.9,55.2,3,22
Utah Jazz,2002,85,95.2,3.4,24.3,9.1,6.0,28.8,16.8,54.1,12,10
Minnesota Timberwolves,2002,87,97.6,4.3,23.2,6.2,5.1,31.4,13.9,54.0,7,18
Seattle SuperSonics,2002,87,95.1,5.3,23.0,8.6,4.3,29.0,13.1,54.0,13,24
Miami Heat,2002,83,88.0,4.2,19.7,6.7,4.6,31.3,14.3,49.4,28,20
Phoenix Suns,2002,82,92.0,4.3,21.7,7.6,5.0,29.5,15.5,45.1,24,22
Houston Rockets,2002,81,92.9,5.6,18.0,6.7,6.2,30.3,14.7,44.4,20,14
Los Angeles Clippers,2002,84,94.0,5.0,20.5,6.4,6.3,29.6,15.0,42.9,16,21
Milwaukee Bucks,2002,85,98.3,7.1,22.2,6.9,4.9,30.9,13.8,42.4,6,18
Washington Wizards,2002,83,92.5,3.7,20.6,7.1,4.5,28.8,13.7,42.2,23,28
Atlanta Hawks,2002,82,93.8,5.4,20.5,8.0,4.9,30.2,16.4,41.5,17,16
Toronto Raptors,2002,88,89.8,4.5,20.0,8.0,4.5,28.0,14.6,40.9,27,27
New York Knicks,2002,79,92.8,6.3,21.3,6.8,3.5,29.3,14.6,34.2,22,29
Chicago Bulls,2002,84,92.9,4.0,21.6,7.6,4.9,29.2,15.5,31.0,20,25
Memphis Grizzlies,2002,83,91.5,4.1,22.1,7.3,6.2,29.7,17.0,27.7,26,14
Denver Nuggets,2002,83,87.5,4.2,21.1,8.0,5.0,27.8,17.1,27.7,29,26
Cleveland Cavaliers,2002,85,94.5,4.2,21.8,7.4,5.7,29.8,15.7,27.1,14,17
Golden State Warriors,2002,82,99.5,4.5,20.7,7.9,6.5,30.4,16.5,25.6,3,7
Los Angeles Lakers,2001,93,100.6,5.4,22.8,7.7,6.1,32.0,14.4,75.3,3,3
San Antonio Spurs,2001,93,97.8,6.2,21.5,6.9,7.2,32.8,14.1,72.0,7,2
Sacramento Kings,2001,94,102.2,5.5,22.2,8.9,4.8,33.3,15.1,64.9,1,1
Milwaukee Bucks,2001,99,99.7,7.1,23.0,8.0,4.9,31.2,13.9,64.6,4,11
Dallas Mavericks,2001,90,101.3,6.4,21.4,7.4,5.7,31.5,13.1,64.4,2,6
Minnesota Timberwolves,2001,84,98.5,4.1,26.0,8.0,5.6,31.0,13.3,60.7,6,6
Utah Jazz,2001,87,96.4,3.6,25.3,8.1,6.1,29.4,16.4,58.6,9,16
Phoenix Suns,2001,89,95.6,4.1,23.1,9.4,5.2,30.7,14.9,58.4,12,4
Toronto Raptors,2001,94,96.3,5.8,23.6,8.1,7.1,29.7,13.6,57.4,10,5
Philadelphia 76ers,2001,106,92.2,3.2,20.5,8.1,4.9,31.3,15.4,55.7,25,9
Indiana Pacers,2001,88,94.3,4.8,23.1,6.9,6.0,31.6,14.6,53.4,18,8
Seattle SuperSonics,2001,82,97.3,6.1,22.3,7.9,4.5,28.4,14.5,52.4,8,27
Boston Celtics,2001,81,95.0,8.1,21.3,9.5,4.1,29.7,14.6,51.9,15,18
New York Knicks,2001,86,89.7,4.8,19.3,6.5,4.0,30.8,14.5,51.2,27,25
Orlando Magic,2001,88,99.6,6.9,22.0,7.9,5.5,30.0,13.8,51.1,5,17
Portland Trail Blazers,2001,83,94.3,4.6,23.5,7.7,4.6,29.6,14.6,50.6,18,23
Charlotte Hornets,2001,91,93.1,4.2,22.0,7.9,5.3,30.9,14.0,49.5,22,13
Houston Rockets,2001,84,95.8,6.3,19.3,6.8,4.4,30.9,14.0,47.6,11,22
Miami Heat,2001,82,86.8,5.0,20.2,7.0,4.5,30.2,14.1,46.3,29,24
Los Angeles Clippers,2001,80,94.7,4.5,20.4,6.1,6.7,31.2,15.3,45.0,17,14
New Jersey Nets,2001,81,95.1,5.0,21.4,7.7,5.5,29.7,14.7,44.4,13,20
Detroit Pistons,2001,79,95.1,5.6,20.3,7.4,5.9,31.0,15.0,43.0,13,9
Denver Nuggets,2001,80,94.9,6.4,23.6,6.8,6.5,30.8,13.6,42.5,16,11
Washington Wizards,2001,81,94.0,3.7,20.1,7.5,4.3,29.0,14.9,35.8,20,27
Atlanta Hawks,2001,82,93.7,4.3,20.0,7.8,4.6,30.5,15.8,31.7,21,20
Cleveland Cavaliers,2001,84,92.3,3.5,21.5,7.5,5.6,29.9,15.2,31.0,24,19
Vancouver Grizzlies,2001,52,93.0,4.4,24.0,6.8,4.6,29.6,15.5,28.8,23,26
Golden State Warriors,2001,82,91.8,3.4,21.1,8.6,5.5,29.8,16.4,23.2,26,15
Chicago Bulls,2001,81,87.4,3.8,23.1,8.2,4.1,28.4,15.7,19.8,28,29
Los Angeles Lakers,2000,107,101.9,5.2,23.8,6.8,6.5,32.1,13.5,73.8,2,4
Portland Trail Blazers,2000,100,96.5,4.9,22.5,8.1,4.6,29.9,15.0,68.0,14,18
Philadelphia 76ers,2000,89,95.9,3.0,21.5,8.9,5.0,30.5,15.4,65.2,16,8
Utah Jazz,2000,95,96.6,4.4,25.4,7.6,5.6,29.4,15.0,64.2,13,18
Phoenix Suns,2000,90,95.4,5.2,24.4,9.1,5.1,31.0,16.1,63.3,17,5
San Antonio Spurs,2000,85,94.9,4.1,21.2,7.8,6.5,32.3,14.8,61.2,21,1
Minnesota Timberwolves,2000,90,97.6,3.5,26.0,7.7,5.4,29.6,13.7,61.1,11,16
Dallas Mavericks,2000,84,100.2,6.7,21.5,7.0,5.1,30.0,13.7,60.7,3,23
New York Knicks,2000,99,89.4,4.4,18.0,6.5,3.9,30.4,14.1,60.6,28,28
Miami Heat,2000,96,90.2,5.4,21.1,7.4,5.3,30.5,14.4,59.4,26,12
Charlotte Hornets,2000,88,94.6,4.2,23.6,7.9,5.8,32.3,14.7,59.1,22,3
Indiana Pacers,2000,107,98.0,6.3,21.3,6.7,5.1,31.4,14.0,57.9,10,12
Sacramento Kings,2000,88,102.4,6.3,23.0,9.6,4.9,31.7,15.4,55.7,1,2
Seattle SuperSonics,2000,88,98.5,6.1,22.4,8.2,4.5,30.3,14.6,52.3,7,14
Milwaukee Bucks,2000,86,99.6,5.3,21.7,7.9,4.9,29.5,14.6,50.0,5,22
Toronto Raptors,2000,86,95.4,5.0,23.5,7.7,6.0,29.8,13.2,50.0,17,10
Orlando Magic,2000,83,97.3,4.1,20.9,8.6,5.9,30.0,17.4,48.2,12,7
Houston Rockets,2000,81,98.2,6.7,21.0,7.3,4.9,30.6,16.4,46.9,9,15
Detroit Pistons,2000,87,99.8,5.3,20.2,8.1,4.1,30.2,16.2,46.0,4,21
Cleveland Cavaliers,2000,81,94.4,3.5,22.5,8.3,4.9,30.6,17.4,44.4,23,9
Denver Nuggets,2000,85,98.9,5.8,24.3,6.6,7.0,31.4,15.0,42.4,6,6
Boston Celtics,2000,84,98.3,5.4,20.8,9.5,3.5,29.6,15.7,41.7,8,17
New Jersey Nets,2000,82,95.0,5.0,20.8,8.8,4.8,28.3,13.9,34.1,20,25
Atlanta Hawks,2000,83,89.6,3.4,18.3,6.9,5.3,30.4,15.8,32.5,27,18
Washington Wizards,2000,83,95.4,4.0,21.4,7.2,4.9,29.4,16.3,30.1,17,26
Vancouver Grizzlies,2000,83,92.9,4.0,21.6,7.8,4.1,28.7,16.6,28.9,24,29
Golden State Warriors,2000,83,96.0,3.8,22.3,9.3,4.6,29.4,16.3,27.7,15,11
Chicago Bulls,2000,85,84.8,4.0,20.1,7.9,4.9,28.2,18.2,23.5,29,27
Los Angeles Clippers,2000,84,91.6,4.9,18.2,6.7,5.8,29.6,16.6,19.0,25,23
San Antonio Spurs,1999,98,92.9,3.9,21.9,7.7,6.9,32.1,15.3,74.5,18,1
Portland Trail Blazers,1999,92,94.1,4.7,21.9,7.9,5.6,31.6,15.1,69.6,13,3
Indiana Pacers,1999,92,96.8,6.4,21.1,6.7,4.9,29.9,13.7,67.4,4,21
Utah Jazz,1999,89,93.0,3.0,23.7,7.9,5.3,29.9,15.7,67.4,17,15
Los Angeles Lakers,1999,88,98.0,4.4,21.4,7.7,6.1,30.9,14.7,67.0,2,6
Miami Heat,1999,83,91.3,5.7,21.5,6.7,6.3,31.1,15.1,65.1,21,10
Orlando Magic,1999,83,93.8,4.2,21.2,9.7,4.7,29.9,16.8,59.0,14,9
New York Knicks,1999,100,87.6,4.0,18.4,7.3,5.0,30.4,15.1,57.0,28,17
Sacramento Kings,1999,82,101.3,5.9,22.8,9.1,4.7,31.9,16.7,56.1,1,2
Charlotte Hornets,1999,79,96.2,4.9,23.7,9.5,5.3,30.3,15.9,55.7,6,3
Phoenix Suns,1999,82,97.5,5.5,25.0,9.1,4.7,29.3,14.8,54.9,3,13
Detroit Pistons,1999,84,94.2,4.8,20.4,8.3,3.6,28.9,15.8,54.8,12,27
Milwaukee Bucks,1999,83,95.3,4.6,21.3,8.8,4.3,27.8,14.5,54.2,8,26
Seattle SuperSonics,1999,80,96.6,6.4,22.2,7.8,4.0,29.3,15.1,53.8,5,22
Philadelphia 76ers,1999,90,90.1,2.1,19.3,10.4,5.1,29.0,16.1,53.3,26,7
Atlanta Hawks,1999,88,90.1,3.9,16.3,6.5,5.3,30.4,15.3,51.1,26,20
Toronto Raptors,1999,79,93.7,4.7,21.9,8.5,6.6,29.9,15.8,50.6,15,5
Houston Rockets,1999,84,95.7,6.7,21.1,7.8,5.4,31.2,16.9,50.0,7,8
Minnesota Timberwolves,1999,81,93.5,2.3,24.6,8.1,5.5,28.8,13.4,48.1,16,18
Cleveland Cavaliers,1999,79,91.0,4.1,22.7,9.1,4.2,27.8,16.6,43.0,22,22
Boston Celtics,1999,78,94.6,5.4,21.3,9.3,4.7,29.3,15.8,39.7,11,12
Denver Nuggets,1999,78,95.1,5.8,19.9,7.4,6.4,29.1,15.0,37.2,9,16
Dallas Mavericks,1999,80,95.1,4.6,19.8,7.2,5.7,29.4,14.0,35.0,9,19
New Jersey Nets,1999,80,92.9,4.9,18.7,9.4,5.4,28.6,14.7,35.0,18,11
Washington Wizards,1999,80,91.7,3.4,21.1,7.7,4.1,29.2,15.9,35.0,20,24
Golden State Warriors,1999,79,90.6,3.7,21.5,8.1,4.2,30.8,15.3,34.2,24,13
Los Angeles Clippers,1999,79,90.8,4.6,16.8,8.0,5.5,27.5,16.1,22.8,23,24
Chicago Bulls,1999,77,82.8,3.6,19.9,8.5,3.8,27.7,16.4,19.5,29,28
Vancouver Grizzlies,1999,79,90.2,3.0,19.3,7.8,4.1,27.7,16.9,17.7,25,29
Chicago Bulls,1998,73,97.1,4.4,23.3,8.8,4.3,28.4,13.2,78.1,8,13
Utah Jazz,1998,72,99.2,3.3,24.9,7.7,4.9,29.6,14.7,77.8,4,11
Indiana Pacers,1998,69,95.2,5.6,21.7,8.0,4.4,27.5,13.8,71.0,16,23
Los Angeles Lakers,1998,65,104.6,5.8,24.1,8.5,7.2,29.9,14.9,69.2,1,1
San Antonio Spurs,1998,62,91.6,3.7,21.6,5.8,6.9,32.0,15.1,67.7,25,3
Seattle SuperSonics,1998,62,99.2,7.9,23.4,9.5,4.3,26.9,13.7,66.1,4,17
Phoenix Suns,1998,59,98.5,5.3,25.8,8.8,5.5,29.9,14.1,66.1,6,4
Miami Heat,1998,58,93.5,6.7,21.4,7.7,5.5,29.7,14.6,63.8,21,8
Charlotte Hornets,1998,62,94.4,4.1,22.9,7.7,3.6,28.5,14.6,59.7,18,26
Atlanta Hawks,1998,57,96.8,4.6,19.4,8.4,5.6,29.4,14.5,56.1,10,6
Minnesota Timberwolves,1998,58,100.6,4.4,25.2,7.8,4.9,28.7,13.3,55.2,2,14
Cleveland Cavaliers,1998,58,92.2,3.7,23.3,9.5,5.1,28.4,16.8,53.4,24,7
Washington Wizards,1998,50,97.1,3.9,22.6,8.3,4.6,28.5,13.7,52.0,8,14
Portland Trail Blazers,1998,58,94.1,3.8,22.3,7.2,5.1,30.0,16.3,50.0,19,10
New Jersey Nets,1998,56,100.2,3.9,20.3,9.0,3.6,26.1,13.8,48.2,3,29
New York Knicks,1998,63,91.0,5.1,21.3,7.7,2.5,29.1,14.7,47.6,26,27
Orlando Magic,1998,52,89.4,3.7,20.9,7.9,5.6,27.1,15.6,46.2,27,18
Houston Rockets,1998,61,96.2,6.6,21.4,8.0,3.8,28.7,15.5,45.9,13,19
